Change,Charge,Unbalanced Atoms,Rxn Eq. Before,Rxn Eq. After,Metabolite Changes,Reaction Parts Before (May be missing some),Source,Support ,Analogous Rxn,Reaction Balanced Fully?,Initial,Date,From? *mass balanced (not charge/matches model seed)
rxn10196,charge 2.0,C-40.0 H-62.0 N-8.0 O-21.0,cpd15663_c + cpd15665_c <=> cpd00286_c + cpd15668_c,cpd15663_c + cpd15666_c <=> cpd00286_c + cpd15668_c + cpd00067_c ,,"Prenol-45n teichoic acid-alanine substituted Peptidoglycan polymer (n subunits) Undecaprenylphosphate glycerol teichoic acid (n=45), linked, D-ala substituted",http://modelseed.org/biochem/reactions/rxn10196 and github agree with each other,missing hydrogen. cpd000286 had updated formulas and charges. These were corrected for. cpd15666 (n-1 subunit) replaces cpd15665 (n subunit),,,JJ,June 22,ModelPA14
rxn10199,charge -2.0,C40.0 H63.0 N8.0 O21.0 R1.0,cpd03495_c <=> cpd02229_c + cpd15665_c,(1) cpd03495_c + (1) cpd15666_c <=> (1) cpd02229_c + (1) cpd15665_c,,Undecaprenyl-diphospho-N-acetylmuramoyl--N-acetylglucosamine-L-ala-D-glu-meso-2-6-diaminopimeloyl-D-ala-D-ala Bactoprenyl diphosphate Peptidoglycan polymer (n subunits),,cpd15666_c form C40H63N8O21R charge -2 <> cpd02229 form C55H90O7P2 charge -2 <> stoich for whole rxn should workout,,,JJ,June 26,ModelPA14
rxn10772,charge -2.0,,cpd00067_c + cpd00985_c --> cpd00001_c + cpd00013_c,,,H+ NH4OH H2O NH3,http://modelseed.org/biochem/reactions/rxn10772,no change <> why is NH4OH +2 charge in all databases and model?,,,JJ,June 28,ModelPA14
rxn11080,charge -1.0,H1.0 O1.0,cpd00002_c + cpd00381_e --> cpd00008_c + cpd00009_c + cpd00381_c,cpd00002_c + cpd00381_e + cpd00001_c --> cpd00008_c + cpd00009_c + cpd00381_c +cpd00067_c,,ATP L-Cystine ADP Phosphate L-Cystine,http://modelseed.org/biochem/reactions/rxn11080,was missing H+ on left and H20 on the right,,,JJ,June 21,ModelPA14
rxn11268,charge 2.0,,cpd00012_c + cpd00067_c --> cpd00012_e + cpd00067_e,cpd00012_c + cpd00067_c --> cpd00012_e + cpd00067_e,,PPi H+ PPi H+,http://modelseed.org/biochem/reactions/rxn11268,"cpd00012_e has charge 0 that disagrees with modelseed and github, recommend changing to -3. cpd00012_c should also be changed from -2 to -3 based off modelseed and github. ",,,JJ,June 22,ModelPA14
rxn11546,charge 4.0,,cpd00033_c <=> cpd00011_c + 4.0 cpd00067_c + cpd00150_c,,,Glycine CO2 H+ HCN,http://modelseed.org/biochem/reactions/rxn11546,No change <> why is cpd00033_c neutral?,,,JJ,June 28,ModelPA14
rxn12218,charge 2.0,,cpd00021_c + cpd01476_c <=> cpd00028_c + 2.0 cpd00067_c,,,Fe2+ Protoporphyrin Heme H+,http://modelseed.org/biochem/reactions/rxn12218,cpd00021_c charge +2 ,,,JJ,June 28,ModelPA14
rxn12221,charge 2.0,,cpd00021_c + cpd03426_c <=> 2.0 cpd00067_c + cpd00557_c,cpd00021_c + cpd03426_c <=> 2.0 cpd00067_c + cpd00557_c,,Fe2+ Sirohydrochlorin H+ Siroheme,http://modelseed.org/biochem/reactions/rxn12221,cpd00021_c charge +2 Name Fe2+ fixes inbalance,,,JJ,June 25,ModelPA14
rxn12405,charge -1.0,,cpd00797_e <=> cpd00797_c,cpd00797_e <=> cpd00797_c,,(R)-3-Hydroxybutanoate (R)-3-Hydroxybutanoate,http://modelseed.org/biochem/reactions/rxn12405,cpd00797_e change to charge -1,,,JJ,June 25,ModelPA14
rxn12851,charge -1.0,H-1.0,cpd00001_c + cpd00002_c + cpd15606_e --> cpd00008_c + cpd00009_c + cpd15606_c + cpd00067_c ,,,H2O ATP Gly-Tyr ADP Phosphate Gly-Tyr,http://modelseed.org/biochem/reactions/rxn12851,Was missing a hydrogen,,,JJ,June 21,ModelPA14
rxn12880,charge -1.0,O-1.0,cpd00007_c + cpd16764_c <=> cJB00124_c,cpd00007_c + cpd16764_c <=> cJB00124_c,,"O2 2-nonaprenyl-3-methyl-6-methoxy-1,4-benzoquinol",http://modelseed.org/biochem/reactions/rxn12880,git hub and model seed have no available corrections for this,,,JJ,June 22,ModelPA14
rxn13107,charge -2.0,,cpd00007_c + 2.0 cpd00067_c + cpd16768_c <=> cpd00001_c + cpd16765_c,cpd00007_c + 2.0 cpd00067_c + cpd16768_c <=> cpd00001_c + cpd16765_c,,O2 H+ 2-nonaprenylphenol H2O 2-nonaprenyl-6-hydroxyphenol,No change model seed and github have -2 charge. Charge imbalance caused by hydrogens. ,,,,JJ,June 21,ModelPA14
rxn13108,,O-1.0,cpd00007_c + cpd16767_c <=> cpd16766_c,,,"O2 2-nonaprenyl-6-methoxyphenol 2-nonaprenyl-6-methoxy-1,4-benzoquinol",http://modelseed.org/biochem/reactions/rxn13108,Has cpd error in github <>  cpd16767_c and cpd16766_c formula not listed in both,,,JJ,June 28,ModelPA14
rxn13299,charge 1.0,H-41.0 O-21.0 C-24.0,cpd00009_c + cpd00155_c --> cpd00089_c,cpd00009_c + cpd00155_c --> cpd00089_c,,Phosphate Glycogen Glucose-1-phosphate,http://modelseed.org/biochem/reactions/rxn13299,"POLYMER Model and Git Hub have charges ""status"":  MI:C:-24/H:-42/O:-21"".Glycogen is in modelseed C30H52O26 <> this reaction has polymer",,,JJ,June 25,ModelPA14
rxn13643,charge 1.0,C24.0 H43.0 O21.0,cpd00387_c --> cpd00008_c + cpd00067_c + cpd00155_c,cpd00387_c --> cpd00008_c + cpd00067_c + cpd00155_c,,ADPglucose ADP H+ Glycogen,http://modelseed.org/biochem/reactions/rxn13643,Reaction is inherently unbalanced <> github and modelseed agree with our model,,,JJ,June 25,ModelPA14
rxn13682,charge 4.0,,2.0 cpd00005_c + 2.0 cpd00017_c + cpd02083_c + 2.0 cpd17016_c --> 2.0 cpd00006_c + 2.0 cpd00011_c + 2.0 cpd00060_c + 2.0 cpd00067_c + cpd00791_c + 2.0 cpd03091_c + 2.0 cpd17017_c,2.0 cpd00017_c + cpd02083_c --> 2.0 cpd00011_c + 2.0 cpd00060_c  + cpd00791_c + 2.0 cpd03091_c ,,NADPH S-Adenosyl-L-methionine CoproporphyrinogenIII ferrodoxin (oxidized form 4:2) NADP CO2 L-Methionine H+ ProtoporphyrinogenIX 5'-Deoxyadenosine ferrodoxin (reduced form 4:2),"1.3.98.3 - updated the enzyme. Reaction on metacyc does not NADPH, H+ or ferrodoxin derivatives in the mechanism. It does discuss the reactions though. ",,,,JJ,June 20,ModelPA14
rxn13705,charge -2.0,,cpd00006_c + cpd00067_c + cpd17017_c <=> cpd00005_c + cpd17016_c,cpd00006_c + cpd00067_c + cpd17017_c <=> cpd00005_c + cpd17016_c,,NADP H+ ferrodoxin (reduced form 4:2) NADPH ferrodoxin (oxidized form 4:2),http://modelseed.org/biochem/reactions/rxn13705,"Reaction correct as written, but for some reason the NADPH has a greater negative charge than NADP....",,,JJ,June 21,ModelPA14
rxn13789,charge 2.0,,cpd00024_c + cpd17076_c <=> cpd00023_c + 2.0 cpd00067_c + cpd02089_c,,,2-Oxoglutarate delta-aminovalerate L-Glutamate H+ 5-Oxopentanoate,http://modelseed.org/biochem/reactions/rxn13789,no change,,,JJ,June 28,ModelPA14
rxn13792,charge 1.0,O-7.0 C-11.0 H-20.0 N-2.0 P-1.0 R-1.0 S-1.0 X1.0,0.5 cpd00007_c + cpd11468_c --> cpd17046_c,,,O2 Dodecanoyl-ACP 2-hydroxydodecanoyl-[acyl-carrier protein],"
http://modelseed.org/biochem/reactions/rxn13792 [] http://journals.plos.org/ploscompbiol/article?id=10.1371/journal.pcbi.1004452","Inherently unbalanced; as described on github there is 21 H vs 20 H in our model. Additional revision necessary. Citred article has this reaction as class 3 and say ""Isozymes. This is probably not the exactly correct reaction, but it captures the constituents and is the best characterization available. This reaction does, however, have strong evidence for incorporating the elemental Oxygen""",,,JJ,June 21,ModelPA14
rxn13793,charge 1.0,O-7.0 C-11.0 H-20.0 N-2.0 P-1.0 R-1.0 S-1.0 X1.0,0.5 cpd00007_c + cpd11466_c --> cpd17047_c,,,O2 Myristoyl-ACP S-2-hydroxymyristoyl-[acyl-carrier protein],https://onlinelibrary.wiley.com/doi/epdf/10.1002/pmic.201000212 <> http://journals.plos.org/ploscompbiol/article?id=10.1371/journal.pcbi.1004452 <>,"Sourced from PAO1 literature, but I couldn't find anything on this reaction in particular. It was taken from the linked articles. I wouldn't include it because of the strong mass imbalance",,,JJ,July 2,ModelPA14
rxn13796,charge -3.0,H1.0,cpd00001_c + cpd17045_c <=> cpd00010_c + cpd17050_c,,,H2O beta-hydroxydecanoyl-beta-hydroxydecanoyl-S-CoA CoA 3-hydroxydecanoyl-3-hydroxydecanoate,http://modelseed.org/biochem/reactions/rxn13796,"cpd00010_c formula C21H32N7O16P3S
charge -4",,,JJ,June 28,ModelPA14
rxn13797,,H-7.0 O-2.0 C-4.0 N-1.0,cpd00001_c + cpd17082_c <=> cpd00067_c + cpd01581_c + cpd16660_c,,,H2O N-(3-oxo-dodecanoyl)-L-homoserine lactone H+ 3-Oxododecanoate homoserine lactone,http://modelseed.org/biochem/reactions/rxn13797,Github has 4 reactants and is missing Hydrogen ion. Github has CPDFORMERROR as well. Modelseed has a hydrogen in products. Both are unbalanced. Homoserine lactone is missing its formula in our model and modelseed,,,JJ,June 25,ModelPA14
rxn13798,charge -1.0,,cpd00017_c + cpd17083_c <=> cpd00019_c + cpd17053_c,,,S-Adenosyl-L-methionine phenazine-1-carboxylic acid S-Adenosyl-homocysteine 5-methylphenazine-1-carboxylic acid betaine,http://modelseed.org/biochem/reactions/rxn13798,no change in either,,,JJ,June 28,ModelPA14
rxn13801,charge 1.0,,cpd00053_c + cpd00216_c <=> cpd00023_c + cpd17073_c,,,L-Glutamine Chorismate L-Glutamate 2-amino-2-deoxyisochorismic acid,https://www.chem.wisc.edu/deptfiles/genchem/netorial/modules/biomolecules/modules/protein1/prot14.htm,Charge imbalance. The model has hydrogens lost/on AA's that contradict physiological pH levels,,,JJ,June 21,ModelPA14
rxn13804,,C30.0 H48.0,cpd00363_c + cpd11669_c <-- cpd00071_c + cpd15561_c,cpd00363_c + cpd11669_c <-- cpd00071_c + cpd15561_c,,Ethanol Ubiquinone Acetaldehyde Ubiquinol-8,http://theodoregray.com/PeriodicTable/MSP/BalanceReactions <> both modelseed and github agreed with our model,no reasonable way to balance this reaction. Must be missing reactnat,,,JJ,June 21,ModelPA14
rxn13805,charge 2.0,C-6.0 H-6.0 O50.0,2.0 cpd00719_c <=> 2.0 cpd00031_c + cpd11949_c,,,GDP-D-mannuronate GDP Alginate,https://raw.githubusercontent.com/ModelSEED/ModelSEEDDatabase/master/Biochemistry/reactions.json,"Inherently not balanced, needs additional reagents to work",,,JJ,June 21,ModelPA14
rxn13807,,C6.0 H8.0 O-50.0,cpd11949_c <=> cpd17075_c,,,Alginate Epimerized Alginate Dimer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC205283/,"Inherently not balanced, paper linked suggest a specific reaction to L glutorate",,,JJ,June 21,ModelPA14
rxn13808,charge 2.0,,3.0 cpd00004_c + 5.0 cpd00067_c + cpd00075_c <=> 2.0 cpd00001_c + 3.0 cpd00003_c + cpd00013_c,3.0 cpd00004_c + 4.0 cpd00067_c + cpd00075_c <=> cpd00001_c + 3.0 cpd00003_c + cpd00985_c,cpd00985 charge = 0,NADH H+ Nitrite H2O NAD NH4OH,https://www.genome.jp/dbget-bin/www_bget?ec:1.7.1.15,"As written the reaction was missing hydrogens, had NH4OH instead of NH3 and was missing an H20; also EC 1.7.1.15 is used in bacteria, the other is NADPH which is in plants; also weird but the formula for NH3 (cpd00013_c) is written as NH4 in the excel. This could relate to the pKa of NH4, which is roughly 9 and would be protonated. Kegg doesn't use NH4OH, but instead splits this reaction up into NH3 and H20, which makes more sense to me. NH4OH pKa is 3.3 at 18 Centigrade per wiki and would be deprotonated. Another recommended change is conforming to the kegg database reaction from 1.7.1.4 or 1.7.1.15. Both are ambigous as per Kegg. Two reactions are basically the same but one uses NADPH and the other uses NADH. Basic biology says that NADPH is primarily in anabolic reactions in plants, but may be used in bacteria.  Modelseed Github removed extra results. SHould have the same stoich though. ",,,JJ,June 20,ModelPA14
rxn13810,,H23.0 O9.0 C14.0 N5.0 R-2.0,cpd01048_c + cpd15481_c <=> cpd04098_c + cpd13050_c,cpd01048_c + cpd15481_c <=> cpd04098_c + cpd13050_c,,Arsenate glutaredoxin (reduced) Arsenite Glutaredoxin disulfide,http://modelseed.org/biochem/reactions/rxn13810, must change formula and charge cpd04098_c  to AsH2O3 and -1. reaction still unbalanced,,,JJ,June 22,ModelPA14
rxn13813,,H-7.0 O-2.0 C-4.0 N-1.0,cpd00001_c + cpd08635_c <=> cpd00067_c + cpd00211_c + cpd16660_c,,,H2O N-Butyryl-L-homoserine lactone H+ Butyrate homoserine lactone,http://modelseed.org/biochem/reactions/rxn13813,Same issue as above,,,JJ,June 25,ModelPA14
rxn13815,charge 1.0,C5.88 H5.9 O1.9600000000000002 P-3.469446951953614e-17 N2.94,cpd00080_c + 0.02 cpd11427_c --> cpd00046_c + cpd00067_c + 0.02 cpd11454_c,cpd00080_c + 0.02 cpd11427_c --> cpd00046_c + cpd00067_c + 0.02 cpd11454_c,,Glycerol-3-phosphate CDP-diacylglycerol CMP H+ Phosphatidylglycerophosphate,http://modelseed.org/biochem/reactions/rxn13815,Changes: cpd00080_c - Form C3H7O6P charge -2 <> cpd00046_c Form C9H12N3O8P charge -2 <> DOES NOT BALANCE BUT IS SLIGHTLY BETTER,,,JJ,June 25,ModelPA14
rxn13816,charge 3.469446951953614e-17,C5.88 H6.86 N1.96 O4.9 P0.98,cpd00054_c + 0.02 cpd11427_c --> cpd00046_c + cpd00067_c + 0.02 cpd11455_c,,,L-Serine CDP-diacylglycerol CMP H+ ps_BS,http://modelseed.org/biochem/reactions/rxn13816,cpd00046_c formula C9H12N3O8P charge -2 <> ,,,JJ,June 28,ModelPA14
rxn13817,charge 0.020000000000000052,C8.82 H13.74 N2.94 O7.84 P0.98,0.02 cpd11427_c + 0.02 cpd11652_c --> cpd00046_c + cpd00067_c + 0.02 cpd12801_c,0.02 cpd11427_c + 0.02 cpd11652_c --> cpd00046_c + cpd00067_c + 0.02 cpd12801_c,,CDP-diacylglycerol Phosphatidylglycerol CMP H+ Cardiolipin,http://modelseed.org/biochem/reactions/rxn13817,Reaction is inherently unbalanced <> github and modelseed disagree with model <> another reaction appears to be the same thing.,rxn06081,,JJ,June 25,ModelPA14
rxn13818,,C2.9400000000000004 H7.84 O2.94,0.04 cpd11652_c --> cpd00100_c + 0.02 cpd12801_c,,,Phosphatidylglycerol Glycerol Cardiolipin,http://modelseed.org/biochem/reactions/rxn13818,no change,,,JJ,June 28,ModelPA14
rxn13819,charge 1.0,,cpd03803_c + 0.5 cpd11640_c <=> cpd00011_c + cpd03804_c,cpd03803_c + 0.5 cpd11640_c <=> cpd00011_c + cpd03804_c,,Carboxyphosphonoenolpyruvate H2 CO2 (Hydroxyphosphinyl)pyruvate,http://modelseed.org/biochem/reactions/rxn13819,git hub and model seed have no available corrections for this,,,JJ,June 22,ModelPA14
rxn13827,charge 6.0,H6.0,3.0 cpd02494_c + 3.0 cpd03452_c <=> 6.0 cpd00018_c + 9.0 cpd00067_c + cpd03453_c,3.0 cpd02494_c + 3.0 cpd03452_c <=> 6.0 cpd00018_c + 9.0 cpd00067_c + cpd03453_c,,"(2,3-Dihydroxybenzoyl)adenylate (L-Seryl)adenylate AMP H+ Enterobactin",http://modelseed.org/biochem/reactions/rxn13827,cpd00018_c change formula to C10H12N5O7P and charge -2. Github and Modelseed agree.,,,JJ,June 22,ModelPA14
rxn13844,,R-1.0 S-1.0 X1.0,cpd00005_c + cpd00067_c + cpd14938_c <=> cpd00006_c + cpd17051_c,No Changes,('cpd00005_c').formula = 'C21H27N7O17P3' ; ('cpd00005_c').charge = -3; ('cpd00006_c').formula = 'C21H26N7O17P3'; ('cpd00006_c').charge = -4----- ,NADPH H+ 3-Oxostearoyl-[acp] NADP (3R)-3-Hydroxyoctadecanoyl-[acyl-carrier protein],https://chemicalize.com/#/calculation ----- https://biocyc.org/META/NEW-IMAGE?type=ENZYME&object=3-oxo-stearoyl-ACPs ----- https://biocyc.org/META/NEW-IMAGE?type=ENZYME&object=R-3-hydroxystearoyl-ACPs,"Changing the charges makes the reaction charge imbalance worse, but is more representative of the actual charges given the pKa of the hydrogens found at the link. It appears the left side contains the kegg-type reaction while  the right side contains a reaction parts from metacyc. Links are provided on the left. I woudl recommend metabolite changes. Although, this whole steroyl metabolism set of reactions has various missing components. I would try to emulate what kegg has starting at rxn054*** series. ",,,JJ,June 20,ModelPA14
rxn13851,charge 1.0,H-20.0 C-11.0 N-2.0 O-7.0 P-1.0,cpd00067_c + cpd11492_c + cpd15277_c --> cpd00011_c + cpd11493_c + cpd14938_c,cpd00067_c + cpd11492_c + cpd15277_c --> cpd00011_c + cpd11493_c + cpd14938_c,,H+ Malonyl-acyl-carrierprotein- Palmitoyl-ACP CO2 ACP 3-Oxostearoyl-[acp],http://modelseed.org/biochem/reactions/rxn13851,No change in either D.B. ,,,JJ,June 22,ModelPA14
rxn13859,charge -1.0,H-14.0 C-11.0 N-1.0,cpd00067_c + cpd00103_c + cpd08325_c --> cpd00012_c + cpd00873_c,,,H+ PRPP NAC PPi Nicotinate ribonucleotide,https://www.brenda-enzymes.org/enzyme.php?ecno=6.3.4.21 <> http://modelseed.org/biochem/reactions/rxn13859 M<> ,"reaction from modelseed is missing components and inbalanced. Not the same reaction, but isn't correct as written",,,JJ,July 2,ModelPA14
rxn13861,charge 1.0,C11.0 H14.0 N1.0,cpd00873_c + cpd01997_c --> cpd00067_c + cpd02904_c + cpd08325_c,cpd00873_c + cpd01997_c --> cpd00067_c + cpd02904_c + cpd08325_c,,Nicotinate ribonucleotide Dimethylbenzimidazole H+ alpha-Ribazole 5'-phosphate NAC,http://modelseed.org/biochem/reactions/rxn13861,cpd00873_c formula C11H12NO9P and charge -2 <> cpd02904_c charge -2 and formula C14H17N2O7P,,,JJ,June 22,ModelPA14
rxn13864,charge -1.0,C-30.0 H-49.0,cpd00659_c + cpd15561_c --> cpd00001_c + cpd00528_c + cpd11669_c,,,Nitrous oxide Ubiquinol-8 H2O N2 Ubiquinone,http://modelseed.org/genomes/,"RXN not found on modelseed, but on Git hub <> fix ubiqonoul-8 and ubiqnnuone-8 mass and charge  (hydrogen inbalanace) ",,,JJ,June 26,ModelPA14
rxn13866,,H1.0,cpd00043_c + cpd17059_c --> cpd00014_c + cpd17060_c,,,UDP-galactose PA_core2_lipidA UDP PA_core3_lipidA,http://modelseed.org/biochem/reactions/rxn13866,add 1 cpd00067_c to left side,,,JJ,June 28,ModelPA14
rxn13867,,H3.0,3.0 cpd00026_c + cpd17060_c --> 3.0 cpd00014_c + cpd17061_c,,,UDP-glucose PA_core3_lipidA UDP PA_core4_lipidA,http://modelseed.org/biochem/reactions/rxn13867,add 3 cpd00067_c to left side,,,JJ,June 28,ModelPA14
rxn13868,,H2.0,2.0 cpd02113_c + cpd17061_c --> 2.0 cpd00297_c + cpd17062_c,,,dTDP-rhamnose PA_core4_lipidA dTDP PA_core5_lipidA,http://modelseed.org/biochem/reactions/rxn13868,add cpd00067_c X2 on the left side,,,JJ,June 28,ModelPA14
rxn13869,,H1.0,cpd00026_c + cpd17062_c --> cpd00014_c + cpd17063_c,,,UDP-glucose PA_core5_lipidA UDP PA_core6_lipidA,http://modelseed.org/biochem/reactions/rxn13869,add 1 cpd00067_c to left side,,,JJ,June 28,ModelPA14
rxn13870,charge 6.0,,3.0 cpd00002_c + cpd17063_c --> 3.0 cpd00008_c + 3.0 cpd00067_c + cpd17064_c,,,ATP PA_core6_lipidA ADP H+ PA_core7_lipidA,http://modelseed.org/biochem/reactions/rxn13870,Github also has a charge buildup <> articles discuss hypothetical protein association,,,JJ,June 21,ModelPA14
rxn13872,charge -1.0,C11.0 H20.0 N2.0 O6.0 P1.0 R1.0 S1.0 X-1.0,cpd11468_c + cpd17046_c + cpd17068_c <=> 2.0 cpd11493_c + cpd17066_c,NA,,Dodecanoyl-ACP 2-hydroxydodecanoyl-[acyl-carrier protein] Pseudomonas aeruginosa Lipid A precursor ACP Pseudomonas aeruginosa Lipid A,Modelseed database is missing components ... check github,Modelseed database is missing components ... check github,,,JJ,June 21,ModelPA14
rxn13876,charge -2.0,H1.0,cpd17065_c + cpd17088_c --> cpd02229_c + cpd17056_c,,,Pseudomonas aeruginosa LPS core + KDO2-lipidA rha4glcnacppund Bactoprenyl diphosphate Pseudomonas aeruginosa A-band lipopolysaccharide,http://modelseed.org/biochem/reactions/rxn13876,add cpd00067_c on the left side,,,JJ,June 28,ModelPA14
rxn13878,charge 2.0,H1.0,cpd02546_c + cpd17066_c <=> cpd00046_c + cpd00067_c + cpd17055_c,,,CMP-KDO Pseudomonas aeruginosa Lipid A CMP H+ Pseudomonas aeruginosa KDO-lipidA,http://modelseed.org/biochem/reactions/rxn13878,cpd00046_c charge -2 and formula C9H12N3O8P,,,JJ,June 28,ModelPA14
rxn13879,charge 2.0,H1.0,cpd02546_c + cpd17055_c <=> cpd00046_c + cpd00067_c + cpd17054_c,,,CMP-KDO Pseudomonas aeruginosa KDO-lipidA CMP H+ Pseudomonas aeruginosa KDO2-lipidA,http://modelseed.org/biochem/reactions/rxn13879,cpd00046_c charge -2 and formula C9H12N3O8P,,,JJ,June 28,ModelPA14
rxn13880,charge 2.0,,cpd00002_c + cpd17067_c <=> cpd00008_c + cpd00067_c + cpd17068_c,cpd00002_c + cpd17067_c <=> cpd00008_c + cpd00067_c + cpd17068_c,,ATP Pseudomonas Lipid A Disaccharide ADP H+ Pseudomonas aeruginosa Lipid A precursor,http://modelseed.org/biochem/reactions/rxn13880,No changes,,,JJ,June 25,ModelPA14
rxn13881,charge 1.0,,cpd11480_c + cpd17072_c <=> cpd00067_c + cpd11493_c + cpd17070_c,,,"D-3-Hydroxydodecanoyl-[acp] UDP-3-O-(3OH-C10:0)-D-glucosamine H+ ACP UDP-2-NH-(3OH-C12:0),3-O-(3OH-C10:0)glucosamine",http://modelseed.org/genomes/,"RXN not on modelseed, but on github <> cpd11480_c charge -2 <> cpd11493_c charge -2 form C11H22N2O7PRS <> ",,,JJ,June 26,ModelPA14
rxn13882,charge 2.0,,cpd00037_c + cpd11482_c <=> cpd11493_c + cpd17071_c,,,UDP-N-acetylglucosamine (R)-3-Hydroxydecanoyl-[acyl-carrier protein] ACP UDP-3-O-(3OH-C10:0)-N-acetylglucosamine,http://modelseed.org/genomes/,"RXN not on modelseed, but on github <> cpd11482 change to C21H40N2O9PRScharge -2  <> cpd11493 change to C11H22N2O7PRS charge -2 <> ",,,JJ,June 26,ModelPA14
rxn13883,charge -1.0,,cpd00001_c + cpd17071_c <=> cpd00029_c + cpd17072_c,,,H2O UDP-3-O-(3OH-C10:0)-N-acetylglucosamine Acetate UDP-3-O-(3OH-C10:0)-D-glucosamine,http://modelseed.org/biochem/reactions/rxn13883,no change in either,,,JJ,June 28,ModelPA14
rxn13885,charge 4.0,,2.0 cpd17077_c <=> 2.0 cpd00001_c + cpd00011_c + 4.0 cpd00067_c + cpd17083_c,2.0 cpd17077_c <=> 2.0 cpd00001_c + cpd00011_c + 4.0 cpd00067_c + cpd17083_c,,"trans-2,3-dihydro-3-hydroxyanthranilic acid H2O CO2 H+ phenazine-1-carboxylic acid","https://pubs.acs.org/doi/abs/10.1021/bi049059z , https://pubs.acs.org/doi/full/10.1021/bi049059z , both of these discuss possible reaction mechanisms, with the incoporation of 2 waters and two phenzine rings. https://metacyc.org/META/NEW-IMAGE?type=REACTION&object=RXN-17694 this is the closest thing to an actual tabulated reaction",,,,JJ,June 21,ModelPA14
rxn13887,charge -1.98,H-1.0000000000000002 O2.9400000000000004 P0.98,cpd00001_c + 0.02 cpd11454_c --> cpd00009_c + 0.02 cpd11652_c,,,H2O Phosphatidylglycerophosphate Phosphate Phosphatidylglycerol,http://modelseed.org/biochem/reactions/rxn13887,No change in either,,,JJ,June 28,ModelPA14
rxn13888,charge 3.0,H-1.0,2.0 cpd03118_c <=> cpd00010_c + cpd17045_c,2.0 cpd03118_c <=> cpd00010_c + cpd17045_c + cpd00067_c,,(S)-Hydroxydecanoyl-CoA CoA beta-hydroxydecanoyl-beta-hydroxydecanoyl-S-CoA,GIThub and model seed differed by one H,"added H to balance rxn, charge still unbalanced",,,JJ,June 21,ModelPA14
rxn13889,charge -0.019999999999999983,H-11.78 C-8.82 N-2.94 O-6.86 P-0.98,cpd00052_c + cpd00067_c + 0.02 cpd11422_c <=> cpd00012_c + 0.02 cpd11427_c,cpd00052_c + cpd00067_c + 0.02 cpd11422_c <=> cpd00012_c + 0.02 cpd11427_c,,"CTP H+ 1,2-diacyl-sn-glycerol 3-phosphate PPi CDP-diacylglycerol",,cpd00012 gets form HO7P2 and charge -3 <> ,,,JJ,June 26,ModelPA14
rxn13893,charge 6.0,,cpd00791_c --> 6.0 cpd00067_c + cpd01476_c,,,ProtoporphyrinogenIX H+ Protoporphyrin,http://modelseed.org/biochem/compounds/cpd01476,no change,,,JJ,June 28,ModelPA14
rxn13894,charge 0.02,C0.98 H0.01999999999999999 O1.96,0.02 cpd11455_c --> cpd00011_c + 0.02 cpd11456_c,,,ps_BS CO2 Phosphatidylethanolamine,http://modelseed.org/biochem/reactions/rxn13894,No change,,,JJ,June 28,ModelPA14
rxn13898,charge 1.0,C30.0 H48.0,cpd00005_c + cpd11669_c <=> cpd00006_c + cpd17097_c,cpd00005_c + cpd15560_c <=> cpd00006_c + cpd17097_c,,NADPH Ubiquinone NADP semiquinone-8,They inputed ubiqunone instead of ubiquone-8,,,,JJ,June 20,ModelPA14
rxn13900,charge 2.0,H6.0,2.0 cpd01999_c + cpd17086_c --> 2.0 cpd00126_c + cpd17087_c,,,GDP-D-rhamnose rha1glcnacppund GMP rha3glcnacppund,http://modelseed.org/biochem/reactions/rxn13900,cpd00126_c formula C10H12N5O8P charge -2 <>  ,,,JJ,June 28,ModelPA14
rxn13901,charge 1.0,H3.0,cpd01999_c + cpd17087_c --> cpd00126_c + cpd17088_c,,,GDP-D-rhamnose rha3glcnacppund GMP rha4glcnacppund,http://modelseed.org/biochem/reactions/rxn13901,cpd00126_c formula C10H12N5O8P charge -2 <>  ,,,JJ,June 28,ModelPA14
rxn13904,charge -1.0,H1.0,cpd00067_c + cpd00522_c + cpd17081_c <=> cpd00297_c + cpd17080_c,2.0 cpd00067_c + cpd00522_c + cpd17081_c <=> cpd00297_c + cpd17080_c,,H+ dTDP-4-oxo-L-rhamnose L-rhamnosyl-3-hydroxydecanoyl-3-hydroxydecanoate dTDP L-rhamnosyl-Lrhamnosyl-3-hydroxydecanoyl-3-hydroxydecanoate,http://modelseed.org/biochem/reactions/rxn13904,additional hydrogen added. git hub in agreement,,,JJ,June 22,ModelPA14
rxn13911,charge 1.0,,cpd17096_c <=> cpd00067_c + cpd17094_c,cpd17096_c <=> cpd00067_c + cpd17094_c,,UDP-N-acetyl-D-mannosamine-3-N H+ UDP-N-acetyl-D-mannosamine (2NAc3N) acid,http://modelseed.org/biochem/reactions/rxn13911,same as modelseed and github,,,JJ,June 26,ModelPA14
rxn13912,charge 2.0,,cpd00013_c + cpd00861_c <=> cpd00067_c + cpd17096_c,cpd00013_c + cpd00861_c <=> cpd00067_c + cpd17096_c,,NH3 UDP-N-acetyl-D-mannosamine H+ UDP-N-acetyl-D-mannosamine-3-N,http://modelseed.org/biochem/reactions/rxn13917,same as modelseed and github,,,JJ,June 26,ModelPA14
